"#","name","cooking_time","complexity","price","created_at"
"59","FRIET PICCA.","300","2","1.9","2022-12-23T00:18:12.000000Z"
"60","FRIET OORLOG","300","2","1.9","2022-12-23T00:18:12.000000Z"
"61","GR.FRIETMAYO","300","2","1.9","2022-12-23T00:18:12.000000Z"
"62","GR.FRIETCURRY","300","2","1.9","2022-12-23T00:18:12.000000Z"
"63","GR.FRIET TOMATK","300","2","1.9","2022-12-23T00:18:12.000000Z"
"64","GR.FRIETSPECIAAL","300","2","1.9","2022-12-23T00:18:12.000000Z"
"65","GR.FRIET SATE","300","2","1.9","2022-12-23T00:18:12.000000Z"
"66","GR.FRIET STOOFVLEES","300","2","1.9","2022-12-23T00:18:12.000000Z"
"67","GR FR ZIG/JOPPIE","300","4","1.9","2022-12-23T00:18:12.000000Z"
"68","GR.FRIET MAYO+UI","300","2","1.9","2022-12-23T00:18:12.000000Z"
"69","GR.FRIET MAYO +C","300","2","1.9","2022-12-23T00:18:12.000000Z"
"70","GR FR PICC","300","2","1.9","2022-12-23T00:18:12.000000Z"
"71","GR.FRIET OORLOG","300","2","1.9","2022-12-23T00:18:12.000000Z"
"72","SUPER.ZONDER","300","2","1.9","2022-12-23T00:18:12.000000Z"
"73","SUPER.MAYO","300","2","1.9","2022-12-23T00:18:12.000000Z"
"74","SUPER.MAYO+CURRY","300","2","1.9","2022-12-23T00:18:12.000000Z"
"75","SUPER.MAYO/CURRY","300","2","1.9","2022-12-23T00:18:12.000000Z"
"76","SUPER.CURRY/TOMKETCH","300","2","1.9","2022-12-23T00:18:12.000000Z"
"77","SUPER.SPECIAAL","300","2","1.9","2022-12-23T00:18:12.000000Z"
"78","SUPER.SATESAUS","300","2","1.9","2022-12-23T00:18:12.000000Z"
"79","SUPER.STOOFVLEES","300","2","1.9","2022-12-23T00:18:12.000000Z"
"80","SUPER.ZIG.SAUS","300","2","1.9","2022-12-23T00:18:12.000000Z"
"81","SUPER.KNOFLOOK","300","2","1.9","2022-12-23T00:18:12.000000Z"
"82","SUPER.JOPPIE","300","2","1.9","2022-12-23T00:18:12.000000Z"
"83","SUPER.PICCA","300","2","1.9","2022-12-23T00:18:12.000000Z"
"84","SUPER.OORLOG","300","2","1.9","2022-12-23T00:18:12.000000Z"
"85","GR.SUPERTJE.ZOND","300","2","1.9","2022-12-23T00:18:12.000000Z"
"86","GR.SUPERTJE.MAYO/CURRY","300","2","1.9","2022-12-23T00:18:12.000000Z"
"87","GR.SUPERTJE.MAYO+CURRY","300","2","1.9","2022-12-23T00:18:12.000000Z"
"88","GR.SUPERTJE TOMA","300","2","1.9","2022-12-23T00:18:12.000000Z"
"89","GR.SUPERTJE SPEC","300","2","1.9","2022-12-23T00:18:12.000000Z"
"90","GR.SUPERTJE SATE","300","2","1.9","2022-12-23T00:18:12.000000Z"
"91","GR.SUPERTJE STOO","300","2","1.9","2022-12-23T00:18:12.000000Z"
"92","GR.SUPERTJE ZIG.","300","2","1.9","2022-12-23T00:18:12.000000Z"
"93","GR.SUPERTJE KNOF","300","2","1.9","2022-12-23T00:18:12.000000Z"
"94","GR.SUPERTJE JOPP","300","2","1.9","2022-12-23T00:18:12.000000Z"
